Código;B3SA3;Digite o código da empresa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Empresa;B3;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Segmento;Financeiros Diversos;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Último Balanço;30/09/24;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Inicial;30/09/14;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Final;30/09/24;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data final selecionada;;Digite uma data ou deixe vazio que a data do último balanço sera a referência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos;10;Digite a quantidade de anos que deseja visualizar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meses ;Trimestre;Escolha o périodo da DRE E FC (3meses, 12 Meses ou no exercicio) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de balanço;Consolidado;Defina se deseja ver Nrs Consolidados ou Individuais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Preço Ação R$ Ajustado Bruto .B3SA3;Valor de Mercado (R$) Milhão .B3SA3;EV R$ Consolidado  Milhão .B3SA3;%Val Merc Vs EV .B3SA3;D/(d+E) Patr Liquido % Consolidado .B3SA3;P/L Anos Consolidado  Trimestre .B3SA3;P/VPA x Consolidado .B3SA3;EV/EBITDA x Consolidado  Trimestre .B3SA3;P/Ebitda x Consolidado  Trimestre .B3SA3;PSR x Consolidado  Trimestre .B3SA3; .B3SA3;Rec Liquida Operacionar R$ Consolidado  Trimestre  Milhão .B3SA3;Lucro Bruto R$ Consolidado  Trimestre  Milhão .B3SA3;Margem Bruta % Consolidado  Trimestre .B3SA3;Lucro EBIT R$ Consolidado  Trimestre  Milhão .B3SA3;Margem Ebit % Consolidado  Trimestre .B3SA3;Ebitda R$ Consolidado  Trimestre  Milhão .B3SA3;Lucro Líquido R$ Consolidado  Trimestre  Milhão .B3SA3;Margem Líquida % Consolidado  Trimestre .B3SA3;LPA R$ Consolidado  Trimestre  Unidade .B3SA3;VPA R$ Consolidado  Unidade .B3SA3;Ebitda p/Ação R$ Consolidado  Trimestre  Unidade .B3SA3; .B3SA3;Ativo Total R$ Consolidado  Milhão .B3SA3;Patrimônio Liquido R$ Consolidado  Milhão .B3SA3;Dívida Bruta R$ Consolidado  Milhão .B3SA3;Dívida Líquida R$ Consolidado  Milhão .B3SA3;Caixa R$.B3SA3;Capital de Giro R$ Consolidado  Milhão .B3SA3;Div Bruta/Ativo Total % Consolidado .B3SA3;Div Bruta/Patrim Liquido % Consolidado .B3SA3;Ebit/DIv Bruta % Consolidado  Trimestre .B3SA3;Div Líquida/Ebitda x Consolidado  Trimestre .B3SA3;Div CP/Div Total % Consolidado .B3SA3; .B3SA3;Ações Emitidas Milhar .B3SA3;Ações Outstanding Milhar .B3SA3;Ações Tesouraria Milhar .B3SA3;Ações Outstanding Média Trimestre  Milhar .B3SA3
set-22;12,22;76.261;71.825;106,18%;13,89;74,94;3,74;42,96;46,13;30,72;;2.511;2.258;89,93;1.416;56,39;1.672;1.029;41,00;0,17;3,49;0,28;;48.771;20.418;12.301;-4.448;16.749;7.113;25,22;60,21;11,51;-2,66;14,40;;6.099.000;5.843.738;255.262;5.909.959
dez-22;12,39;77.196;74.414;103,74%;13,56;76,90;3,81;46,80;48,55;30,05;;2.569;2.308;89,83;1.332;51,85;1.590;1.004;39,09;0,17;3,47;0,27;;47.595;20.271;12.111;-2.793;14.905;7.823;25,45;59,71;11,00;-1,76;4,63;;6.099.000;5.843.738;255.262;5.843.738
mar-23;9,85;59.870;57.380;104,34%;16,31;54,96;2,91;35,50;37,04;24,33;;2.460;2.209;89,80;1.357;55,15;1.617;1.089;44,28;0,19;3,55;0,28;;45.806;20.548;11.667;-2.502;14.169;8.161;25,47;56,75;11,63;-1,55;4,12;;5.819.000;5.784.525;34.475;5.784.525
jun-23;14,01;83.351;80.529;103,50%;12,06;80,26;4,06;49,01;51,42;34,11;;2.477;2.230;90,03;1.374;55,48;1.643;1.053;42,51;0,18;3,60;0,28;;47.177;20.541;11.428;-2.834;14.263;6.196;24,22;55,60;12,03;-1,72;17,82;;5.819.000;5.705.064;113.936;5.783.243
set-23;11,89;70.115;66.774;105,00%;14,17;65,27;3,47;41,00;43,05;28,16;;2.490;2.248;90,29;1.347;54,10;1.629;1.074;43,14;0,19;3,55;0,29;;47.873;20.234;11.577;-3.354;14.931;5.455;24,18;57,18;11,64;-2,06;26,10;;5.819.000;5.705.064;113.936;5.705.064
dez-23;14,07;79.758;77.792;102,53%;14,94;89,17;3,93;53,61;56,26;32,74;;2.494;2.242;89,92;1.171;46,97;1.451;916;36,73;0,16;3,70;0,26;;49.422;20.274;14.010;-1.979;15.988;6.690;28,35;69,06;8,36;-1,36;30,34;;5.646.500;5.481.658;164.842;5.612.575
mar-24;11,79;67.292;64.431;104,44%;17,31;70,86;3,39;42,85;44,76;27,28;;2.466;2.221;90,07;1.224;49,61;1.504;950;38,50;0,17;3,54;0,27;;48.283;19.875;14.090;-2.873;16.963;8.907;29,18;70,85;8,68;-1,91;16,92;;5.646.500;5.612.359;34.141;5.612.359
jun-24;10,15;56.028;53.651;104,43%;18,55;45,39;2,93;29,53;31,08;20,70;;2.727;2.457;90,09;1.728;63,37;1.817;1.244;45,62;0,23;3,49;0,33;;46.445;19.117;12.759;-2.389;15.148;6.927;27,47;66,70;13,54;-1,31;14,77;;5.546.500;5.471.444;75.056;5.514.301
set-24;10,71;57.770;55.788;103,55%;18,23;48,45;2,99;32,74;34,25;21,52;;2.711;2.436;89,84;1.604;59,17;1.704;1.204;44,43;0,22;3,59;0,31;;46.068;19.145;12.878;-1.995;14.873;7.621;27,96;67,22;12,46;-1,17;11,87;;5.426.500;5.394.041;32.459;5.448.681
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
