date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,adjClose,PX_VOLUME,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Price to Book,Total Current Liabilities,Current Market Cap,Number of Employees,Return on Assets,Profit Margin,Return on Common Equity,Current Ratio,Dividend Payout Ratio,Price to Earnings Ratio,Capital Expenditures,Total Debt to Total Assets,Operating Margin,Return on Capital,Short and Long Term Debt,Cash & ST Investment / Share,Estimated EBITDA,Estimated Sales
2023-08-28,28.9,29.11,28.68,29.11,25.92,24891700,24891700,0.20706,0.72664,28.95,"August 28, 23",0.0072664,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-29,29.17,29.26,28.8,29.17,25.97,40464800,40464800,0.0,0.0,29.1,"August 29, 23",0.0,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-30,29.18,29.44,29.08,29.37,26.15,34565700,34565700,0.18906,0.65113,29.27,"August 30, 23",0.0065113,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-31,29.45,29.52,28.7,28.75,25.6,48815600,48815600,-0.69321,-2.38,29.11,"August 31, 23",-0.0238,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-01,29.0,29.43,28.77,29.38,26.16,49981500,49981500,0.37811,1.31,29.15,"September 01, 23",0.0131,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-04,29.42,29.46,29.0,29.07,25.89,21565400,21565400,-0.35111,-1.19,29.24,"September 04, 23",-0.0119,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-05,29.05,30.15,29.01,30.04,26.75,74911400,74911400,0.9903,3.41,29.56,"September 05, 23",0.0341,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-06,30.02,30.43,29.91,30.18,26.87,57660500,57660500,0.15305,0.53298,30.14,"September 06, 23",0.0053298,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-08,30.14,30.31,29.94,30.07,26.78,38825400,38825400,-0.07202148,-0.23225,30.12,"September 08, 23",-0.0023225,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-11,30.13,30.33,30.01,30.04,26.75,30205700,30205700,-0.09002876,-0.29871,30.13,"September 11, 23",-0.0029871,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-12,30.2,30.41,30.15,30.19,26.88,31864400,31864400,-0.01800537,-0.03311258,30.24,"September 12, 23",-0.0003311258,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-13,30.29,30.34,29.74,29.74,26.48,47454100,47454100,-0.55817,-1.82,30.03,"September 13, 23",-0.0182,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-14,29.8,30.61,29.8,30.49,27.15,46426600,46426600,0.69321,2.32,30.17,"September 14, 23",0.0232,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-15,30.49,30.6,30.26,30.51,27.17,54122400,54122400,0.01800728,0.06559528,30.47,"September 15, 23",0.0006559528,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-18,30.61,31.25,30.47,30.73,27.36,52272200,52272200,0.11704,0.39203,30.77,"September 18, 23",0.0039203,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-19,30.8,31.17,30.67,30.8,27.43,43114100,43114100,0.0,0.0,30.86,"September 19, 23",0.0,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-20,30.74,31.16,30.62,30.87,27.49,38954700,38954700,0.12604,0.4229,30.85,"September 20, 23",0.004229,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-21,30.61,30.87,30.28,30.39,27.06,59995900,59995900,-0.21607,-0.71872,30.54,"September 21, 23",-0.0071872,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-22,30.63,30.78,30.44,30.64,27.28,30938700,30938700,0.00900269,0.03264773,30.62,"September 22, 23",0.0003264773,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-25,30.56,30.91,30.55,30.83,27.45,26652000,26652000,0.27008,0.88351,30.71,"September 25, 23",0.0088351,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-26,30.61,30.69,30.12,30.12,26.82,60540200,60540200,-0.48615,-1.6,30.39,"September 26, 23",-0.016,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-27,30.48,31.08,30.41,31.08,27.67,53540300,53540300,0.59418,1.97,30.76,"September 27, 23",0.0197,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-28,31.01,31.1,30.8,31.01,27.61,30677100,30677100,0.0,0.0,30.98,"September 28, 23",0.0,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-09-29,31.06,31.23,30.83,31.19,27.77,40062400,40062400,0.12604,0.41854,31.08,"September 29, 23",0.0041854,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-10-02,31.1,31.3,30.55,30.72,27.35,34261700,34261700,-0.38712,-1.22,30.92,"October 02, 23",-0.0122,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
